"","SITE","DATE","PEN_ID","PEN_PLOT","REP","PLOT_ID","ZONE","Depth","PR","TILLAGE_DEPTH","TRAFFIC_CONTROL","TYRE_PRESSURE","TILLAGE_NUM","BLOCK","TRAFFIC.by.zone","TC","Layer"
"192","LM","16/10/2020","PLOT-001.5	N00",1,5,1,"W",32,2.8,"D","STP","H",3,1,4,"HT","7"
"193","LM","16/10/2020","PLOT-001.5	N00",1,5,1,"W",33,2.3,"D","STP","H",3,1,4,"HT","7"
"194","LM","16/10/2020","PLOT-001.5	N00",1,5,1,"W",34,2.3,"D","STP","H",3,1,4,"HT","7"
"195","LM","16/10/2020","PLOT-001.5	N00",1,5,1,"W",35,0.9,"D","STP","H",3,1,4,"HT","7"
"196","LM","16/10/2020","PLOT-001.5	N00",1,5,1,"W",36,4.3,"D","STP","H",3,1,4,"HT","8"
"197","LM","16/10/2020","PLOT-001.5	N00",1,5,1,"W",37,4,"D","STP","H",3,1,4,"HT","8"
"198","LM","16/10/2020","PLOT-001.5	N00",1,5,1,"W",38,4,"D","STP","H",3,1,4,"HT","8"
"199","LM","16/10/2020","PLOT-001.5	N00",1,5,1,"W",39,4,"D","STP","H",3,1,4,"HT","8"
"200","LM","16/10/2020","PLOT-001.5	N00",1,5,1,"W",40,4,"D","STP","H",3,1,4,"HT","8"
"201","LM","16/10/2020","PLOT-002.1	N00",2,1,1,"C",1,0.6,"D","STP","H",3,1,1,NA,"1"
"202","LM","16/10/2020","PLOT-002.1	N00",2,1,1,"C",2,0.6,"D","STP","H",3,1,1,NA,"1"
"203","LM","16/10/2020","PLOT-002.1	N00",2,1,1,"C",3,0.6,"D","STP","H",3,1,1,NA,"1"
"204","LM","16/10/2020","PLOT-002.1	N00",2,1,1,"C",4,0.8,"D","STP","H",3,1,1,NA,"1"
"205","LM","16/10/2020","PLOT-002.1	N00",2,1,1,"C",5,1.1,"D","STP","H",3,1,1,NA,"1"
"206","LM","16/10/2020","PLOT-002.1	N00",2,1,1,"C",6,1.1,"D","STP","H",3,1,1,NA,"2"
"207","LM","16/10/2020","PLOT-002.1	N00",2,1,1,"C",7,1.1,"D","STP","H",3,1,1,NA,"2"
"208","LM","16/10/2020","PLOT-002.1	N00",2,1,1,"C",8,1.1,"D","STP","H",3,1,1,NA,"2"
"209","LM","16/10/2020","PLOT-002.1	N00",2,1,1,"C",9,1.1,"D","STP","H",3,1,1,NA,"2"
"210","LM","16/10/2020","PLOT-002.1	N00",2,1,1,"C",10,1.3,"D","STP","H",3,1,1,NA,"2"
"211","LM","16/10/2020","PLOT-002.1	N00",2,1,1,"C",11,1.8,"D","STP","H",3,1,1,NA,"3"
"212","LM","16/10/2020","PLOT-002.1	N00",2,1,1,"C",12,1.8,"D","STP","H",3,1,1,NA,"3"
"213","LM","16/10/2020","PLOT-002.1	N00",2,1,1,"C",13,1.8,"D","STP","H",3,1,1,NA,"3"
"214","LM","16/10/2020","PLOT-002.1	N00",2,1,1,"C",14,1.8,"D","STP","H",3,1,1,NA,"3"
"215","LM","16/10/2020","PLOT-002.1	N00",2,1,1,"C",15,2.3,"D","STP","H",3,1,1,NA,"3"
"216","LM","16/10/2020","PLOT-002.1	N00",2,1,1,"C",16,2.4,"D","STP","H",3,1,1,NA,"4"
"217","LM","16/10/2020","PLOT-002.1	N00",2,1,1,"C",17,2.1,"D","STP","H",3,1,1,NA,"4"
"218","LM","16/10/2020","PLOT-002.1	N00",2,1,1,"C",18,2.1,"D","STP","H",3,1,1,NA,"4"
"219","LM","16/10/2020","PLOT-002.1	N00",2,1,1,"C",19,2.4,"D","STP","H",3,1,1,NA,"4"
